song_name,duration_ms,popularity,preview_url,artists,album_name,album_type,release_date,total_tracks,album_cover_url
Harukamirai,177106,65,https://p.scdn.co/mp3-preview/46deaaf8faa2be1ed51a5836207a6be4701a205e?cid=38e2a4a43dbf4f63a749947cbcb26e74,KANKAKU PIERO,Iroirotoiro,album,2018-02-21,13,https://i.scdn.co/image/ab67616d0000b273b8d439f3ae6c87ed6802eb18
Love Love Nightmare,269771,44,https://p.scdn.co/mp3-preview/7005afef56eb679ddd6f7485680d237b7acea3e5?cid=38e2a4a43dbf4f63a749947cbcb26e74,Kiichi,バフォメット,album,2011-04-06,15,https://i.scdn.co/image/ab67616d0000b2731cd968007ca0969b7b03b7d7
Scarlet Begonias - 2013 Remaster,259702,57,https://p.scdn.co/mp3-preview/5b1ca5f58b7f424cf7698e38a6515b705cbc4eb8?cid=38e2a4a43dbf4f63a749947cbcb26e74,Grateful Dead,From the Mars Hotel,album,1974,8,https://i.scdn.co/image/ab67616d0000b273b6fccabcb9dbfa78a0026482
イタズラなKISS,258333,40,https://p.scdn.co/mp3-preview/5e99c6cc52cd4577c26e48dee228b223523c348f?cid=38e2a4a43dbf4f63a749947cbcb26e74,day after tomorrow,primary colors,album,2004-02-18,13,https://i.scdn.co/image/ab67616d0000b2736c736bc182ad183008028ae2
choose a mii ~ miitopia lofi,94477,35,https://p.scdn.co/mp3-preview/1b0103cec86f978f25833cef68b0bc5b20f76af0?cid=38e2a4a43dbf4f63a749947cbcb26e74,Tanoshi,choose a mii ~ miitopia lofi,single,2022-07-08,1,https://i.scdn.co/image/ab67616d0000b2734e9de0b60120d2ef183ce7bc
Killing Me Softly With His Song,298773,80,https://p.scdn.co/mp3-preview/63ba38c018c61519e68715aa003f4c72374d65b5?cid=38e2a4a43dbf4f63a749947cbcb26e74,Fugees,The Score (Expanded Edition),album,1996-02-13,17,https://i.scdn.co/image/ab67616d0000b2735b7865be7f7fcc05faec6137
Crazy Rolling,313933,50,https://p.scdn.co/mp3-preview/f3ea89ff2cd3a3395af92a5af1613607b9bd146c?cid=38e2a4a43dbf4f63a749947cbcb26e74,Original Broadway Cast of Moulin Rouge! The Musical,Moulin Rouge! The Musical (Original Broadway Cast Recording),album,2019-08-30,19,https://i.scdn.co/image/ab67616d0000b2730be5bb9835436e3a5d03820c
DANCE,194383,48,https://p.scdn.co/mp3-preview/54a8a54c79ed7d6343c92246a5c2268501412adc?cid=38e2a4a43dbf4f63a749947cbcb26e74,Lilyisthatyou,POP MUSIC,single,2023-12-07,5,https://i.scdn.co/image/ab67616d0000b273e4bb7844771abc2acb95fe93
鏡面の波,265453,48,https://p.scdn.co/mp3-preview/7b8935ba8f668d8abd79a89f9c6df83cf0ed9334?cid=38e2a4a43dbf4f63a749947cbcb26e74,YURiKA,鏡面の波 (アーティスト盤),album,2017-12-06,10,https://i.scdn.co/image/ab67616d0000b273384adbddb9fb461a12f11249
ilomilo,156370,74,,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",album,2019-03-29,14,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce
"Night Fever - From ""Saturday Night Fever"" Soundtrack",212253,78,,Bee Gees,Greatest,compilation,1979-01-01,27,https://i.scdn.co/image/ab67616d0000b27352038992fc6d7868f31d23b7
Hitoriuta ~September How YOU doin'?~,197968,51,https://p.scdn.co/mp3-preview/71fd09a0a09b78726d8678577f25ed6cf32e3335?cid=38e2a4a43dbf4f63a749947cbcb26e74,Ujita Mai,Hitoriuta ~September How YOU doin'?~,single,2020-02-28,1,https://i.scdn.co/image/ab67616d0000b273d2eef1a92442a568b6554f0b
This Side of Paradise,242010,81,https://p.scdn.co/mp3-preview/586a15af2447652b7106cd04282221402a66574f?cid=38e2a4a43dbf4f63a749947cbcb26e74,Coyote Theory,Color,single,2020-12-11,5,https://i.scdn.co/image/ab67616d0000b273d45404b4c5a5444cb06c9f7b
LAY YOUR HANDS ON ME -TV MIX-,90000,33,https://p.scdn.co/mp3-preview/d85650a4aa01db6096935807954954be57ea69c2?cid=38e2a4a43dbf4f63a749947cbcb26e74,BOOM BOOM SATELLITES,LAY YOUR HANDS ON ME -TV MIX-,single,2016-04-17,1,https://i.scdn.co/image/ab67616d0000b27387132bfebbd6208c648f17ec
Meteor Shower,265010,70,https://p.scdn.co/mp3-preview/bc819d8960953885c94b6cf99c9097f9bbd4162d?cid=38e2a4a43dbf4f63a749947cbcb26e74,Cavetown,Cavetown,album,2015-11-09,8,https://i.scdn.co/image/ab67616d0000b2739ed6b04a8fe894a9204630f6
Hidden Village (Twilight Princess) [Instrumental Remix],81124,33,https://p.scdn.co/mp3-preview/e978e817bbc1bcbe690295c19bc5ad37d1043b41?cid=38e2a4a43dbf4f63a749947cbcb26e74,Monsalve,The Legend of Zelda: Twilight Princess Instrumental Remix,album,2016-08-01,16,https://i.scdn.co/image/ab67616d0000b273e01fd627e954131f46bc8570
Always Love U,218880,45,,Che'Nelle,シェネル・ワールド,album,2015-02-11,13,https://i.scdn.co/image/ab67616d0000b2739bb91efc7c12f6c2c85c4256
7 Years,237300,87,https://p.scdn.co/mp3-preview/9fa9d1f4ac0d0c32c1cd0e6ab8d64fefef55e81d?cid=38e2a4a43dbf4f63a749947cbcb26e74,Lukas Graham,Lukas Graham,album,2016-04-01,11,https://i.scdn.co/image/ab67616d0000b2732d94d0f04e9a58d1654b760b
Kamado Tanjiro no Uta (Demon Slayer),165230,48,https://p.scdn.co/mp3-preview/c8ccce6bed51b8ee41ba4845501d69e8f3fe9bb4?cid=38e2a4a43dbf4f63a749947cbcb26e74,Ren Avel,Eternal Ride vol.III,single,2021-07-16,6,https://i.scdn.co/image/ab67616d0000b273d0073876b78bd506a186329c
"The Fragrance of Dark Coffee (From ""Phoenix Wright: Ace Attorney − Trials and Tribulations"")",106788,41,https://p.scdn.co/mp3-preview/336eeb9f6ea4352b0a6df394d6108a66c7559285?cid=38e2a4a43dbf4f63a749947cbcb26e74,Paper Coelacanth,"The Fragrance of Dark Coffee (From ""Phoenix Wright: Ace Attorney − Trials and Tribulations"")",single,2018-08-21,1,https://i.scdn.co/image/ab67616d0000b27375c83c9b8c3a867b2c00db3d
Giyu Tomioka Theme - Cover,192534,43,https://p.scdn.co/mp3-preview/c8afd9c37da78ccb07fdffe10d6506b798d0f0aa?cid=38e2a4a43dbf4f63a749947cbcb26e74,Samuel Kim,Demon Slayer: Epic Collection Vol.2 (Cover),single,2021-10-14,4,https://i.scdn.co/image/ab67616d0000b2739992f0a62f6b1ee3a952d562
Snow-Buried Tales,91984,58,https://p.scdn.co/mp3-preview/2e488f07015fb4038d139128dd31f51755d3e832?cid=38e2a4a43dbf4f63a749947cbcb26e74,Yu-Peng Chen,Genshin Impact - Vortex of Legends (Original Game Soundtrack),album,2021-04-02,17,https://i.scdn.co/image/ab67616d0000b273141d9edc1508d9ef951990a6
Hohoemi no Bakudan,251306,51,https://p.scdn.co/mp3-preview/2fb364e1aaba1da77e0b605a60669e30a6259722?cid=38e2a4a43dbf4f63a749947cbcb26e74,Matsuko Mawatari,Matsuko Mawatari The Best of Matsuko Mawatari,compilation,2017-11-01,16,https://i.scdn.co/image/ab67616d0000b27368822e35b653bd81284c0bf5
fortree city ~ pokémon ruby & sapphire lofi,76583,45,https://p.scdn.co/mp3-preview/a1719eed84fdc0c0921c0bca44d618e6ba68e596?cid=38e2a4a43dbf4f63a749947cbcb26e74,Tanoshi,A Journey Through the Hoenn Region ~ Pokémon Ruby & Sapphire Lo-Fi,album,2023-01-27,35,https://i.scdn.co/image/ab67616d0000b2735f870cf9752544ec806824d1
Cinderella (Komi Can't Communicate),90923,36,https://p.scdn.co/mp3-preview/f750166c1fa6b5d5daa2d899064f317d58183c28?cid=38e2a4a43dbf4f63a749947cbcb26e74,Shayne Orok,Cinderella (Komi Can't Communicate),single,2022-02-16,1,https://i.scdn.co/image/ab67616d0000b273865d6f7ee264e6cfb8e8bf95
妖魔夜行,129009,32,https://p.scdn.co/mp3-preview/11dc9f16b313cb531fe73a1ca3a52571feaacb27?cid=38e2a4a43dbf4f63a749947cbcb26e74,上海アリス幻樂団,東方紅魔郷 ~ the Embodiment of Scarlet Devil. サウンドトラック,album,2002-08-11,17,https://i.scdn.co/image/ab67616d0000b27396350dab8a493ca50abc8d34
Iruna Etelero: Lindel's Song,323980,21,https://p.scdn.co/mp3-preview/a5d2458ce7825ce62752617eed046f07846ab5ca?cid=38e2a4a43dbf4f63a749947cbcb26e74,Guitarrista de Atena,"Iruna Etelero: Lindel's Song (From ""The Ancient Magus' Bride"")",single,2019-04-28,2,https://i.scdn.co/image/ab67616d0000b273ebfdcc38c8d3f88e6bd8ef87
妖魔夜行,129009,32,https://p.scdn.co/mp3-preview/11dc9f16b313cb531fe73a1ca3a52571feaacb27?cid=38e2a4a43dbf4f63a749947cbcb26e74,上海アリス幻樂団,東方紅魔郷 ~ the Embodiment of Scarlet Devil. サウンドトラック,album,2002-08-11,17,https://i.scdn.co/image/ab67616d0000b27396350dab8a493ca50abc8d34
ring your bell,316026,40,https://p.scdn.co/mp3-preview/a3431dcceeadde8042fad2b74ab1effe7b16b74b?cid=38e2a4a43dbf4f63a749947cbcb26e74,Kalafina,far on the water,album,2015-09-16,13,https://i.scdn.co/image/ab67616d0000b273142237f9a7c6fa992bf771ed
Calliope,176032,58,https://p.scdn.co/mp3-preview/0731fb93ce3b778c8cd368e58899d07502c5eac7?cid=38e2a4a43dbf4f63a749947cbcb26e74,Arlette Leduc,Calliope,single,2022-07-22,1,https://i.scdn.co/image/ab67616d0000b2734380a489d08dfdf222ebba10
Bocca della Verità,199354,42,https://p.scdn.co/mp3-preview/8a9981444d82b23371d8811e2aaacff63b6df058?cid=38e2a4a43dbf4f63a749947cbcb26e74,HiiragiKirai,Bocca della Verità,single,2020-04-27,1,https://i.scdn.co/image/ab67616d0000b2732cddb822f04866a60630b457
Universe,264365,56,https://p.scdn.co/mp3-preview/6b76c8a6ceac42e36997a4093c0067781dc7f1ea?cid=38e2a4a43dbf4f63a749947cbcb26e74,EXO,"Universe – Winter Special Album, 2017",single,2017-12-26,8,https://i.scdn.co/image/ab67616d0000b27382c1b5cc2b62cae85ef7ffdb
Bad Boy,236817,59,https://p.scdn.co/mp3-preview/98a02e9cf5357e0dc0404547c66b24d479c89ac9?cid=38e2a4a43dbf4f63a749947cbcb26e74,BIGBANG,ALIVE,single,2012-02-29,7,https://i.scdn.co/image/ab67616d0000b273dd2c0e8a5d4b0c1e227e4c7b
Lone Sojourner,50138,56,https://p.scdn.co/mp3-preview/35ec89a29ed579f6947daf197e204ddcfce3e4ad?cid=38e2a4a43dbf4f63a749947cbcb26e74,Yu-Peng Chen,Genshin Impact - The Wind and the Star Traveler (Original Game Soundtrack),album,2020-06-19,15,https://i.scdn.co/image/ab67616d0000b2730cb441fe223f29c1ae19df7d
Jungle P (第326-372話 OP),195310,51,https://p.scdn.co/mp3-preview/e81f588949f288e6d87f8119f692642a6838ef3d?cid=38e2a4a43dbf4f63a749947cbcb26e74,Various Artists,熱烈！アニソン魂 THE BEST カバー楽曲集 TVアニメシリーズ「ONE PIECE」vol.1,compilation,2015-11-12,8,https://i.scdn.co/image/ab67616d0000b273f3970fedda5d125034ea3ead
VOODOO DOLL,216226,45,https://p.scdn.co/mp3-preview/f7450b60037eb451588b9615ea815ed0d23d41d0?cid=38e2a4a43dbf4f63a749947cbcb26e74,VIXX,VOODOO,album,2013-11-25,15,https://i.scdn.co/image/ab67616d0000b2739bacc904bb472a6f1a9cde67
woh woh,241600,23,https://p.scdn.co/mp3-preview/d78f7d03e535592960541ee64481aa5e6d3b5f8b?cid=38e2a4a43dbf4f63a749947cbcb26e74,Kazumasa Oda,Anohi Anotoki,compilation,1994,50,https://i.scdn.co/image/ab67616d0000b2735f19d318247239860e21ac39
SOLO - Live,165993,56,,BLACKPINK,BLACKPINK 2021 'THE SHOW' LIVE,album,2021-06-01,15,https://i.scdn.co/image/ab67616d0000b273d5e4203a5e8167435a0b7561
GIRIGIRI NO TATAKAI,97200,14,https://p.scdn.co/mp3-preview/c668707d73bb9802043d8663e23018d45ad1f719?cid=38e2a4a43dbf4f63a749947cbcb26e74,Kenji Kawai,TV ANIME [WORLD TRIGGER] ORIGINAL.SOUNDTRACK,album,2016-05-11,37,https://i.scdn.co/image/ab67616d0000b2739be4177793ad982b6c64c0da
ロストワンの号哭,214146,58,https://p.scdn.co/mp3-preview/98bca9d930fe7dbb0f2a7b076741ec53ac5656af?cid=38e2a4a43dbf4f63a749947cbcb26e74,EXIT TUNES/PONY CANYON,Kagaminext feat. 鏡音リン、鏡音レン ―10th ANNIVERSARY BEST―,album,2018-01-17,30,https://i.scdn.co/image/ab67616d0000b273ec97087041ca8ca5e55ba67e
Megitsune,247586,58,https://p.scdn.co/mp3-preview/bdac2552bee1dc4fcdc6003f408354605f1d98fa?cid=38e2a4a43dbf4f63a749947cbcb26e74,BABYMETAL,BABYMETAL,album,2015-05-11,15,https://i.scdn.co/image/ab67616d0000b273d01512173f11eec708e1768f
"Maji Love Revolutions (From ""Uta No Prince Sama Maji Love Revolutions"")",220391,1,https://p.scdn.co/mp3-preview/312e598219f8b3b682e78b034c11a0e9625ba53c?cid=38e2a4a43dbf4f63a749947cbcb26e74,RMaster,"New Anime Nation, Vol. 12",album,2017-11-30,15,https://i.scdn.co/image/ab67616d0000b273acd4356e1c8d05434eab5ec6
Rules of Nature - Platinum Mix,150786,61,https://p.scdn.co/mp3-preview/7806842f3bdb7dc59a19ab37f8aaf73b97fe1185?cid=38e2a4a43dbf4f63a749947cbcb26e74,Various Artists,METAL GEAR RISING REVENGEANCE Vocal Tracks Selection,compilation,2013-02-20,27,https://i.scdn.co/image/ab67616d0000b2733b8c38d1cba35f03dd278858
Kawaikutegomen,219893,62,https://p.scdn.co/mp3-preview/fdf1cc7e6f64e74522d19edaa6bc1a0750e0c9f5?cid=38e2a4a43dbf4f63a749947cbcb26e74,HoneyWorks,Kokuhakujikkouiinkai -FLYING SONGS- Koishiteru,album,2022-08-28,13,https://i.scdn.co/image/ab67616d0000b273179b74ca974126093d67b402
Exterminate,245093,37,https://p.scdn.co/mp3-preview/997fe712c804e2ccaedc539816304549cb30bbde?cid=38e2a4a43dbf4f63a749947cbcb26e74,Nana Mizuki,THE MUSEUM Ⅲ,album,2018-01-10,14,https://i.scdn.co/image/ab67616d0000b273e896bd4bb57dd5d8934bfc1a
Hamilton Road,144770,47,https://p.scdn.co/mp3-preview/659352d3a21065547d5261b351a7897480494db6?cid=38e2a4a43dbf4f63a749947cbcb26e74,Ducktails,III: Arcade Dynamics,album,2011-01-18,11,https://i.scdn.co/image/ab67616d0000b27355a5c25fe2a30c43abba34c2
Space Is Cool,171548,52,https://p.scdn.co/mp3-preview/46afe3b27cc097a3c906e9c5db01959cd3c337d4?cid=38e2a4a43dbf4f63a749947cbcb26e74,Markiplier,Space Is Cool,single,2016-02-12,1,https://i.scdn.co/image/ab67616d0000b273d0e941ca56986f31f0f083f1
School,80000,43,https://p.scdn.co/mp3-preview/f8ecb2cc8b0580629dda8a9353367b4b12ec73e4?cid=38e2a4a43dbf4f63a749947cbcb26e74,Toby Fox,DELTARUNE Chapter 1 (Original Game Soundtrack),album,2018-11-01,40,https://i.scdn.co/image/ab67616d0000b27306f2539e9993e43ae9adcc69
Dear Father,275266,40,https://p.scdn.co/mp3-preview/70b7376c8611f3d1cf6364fa4f98f8ca5fec72f8?cid=38e2a4a43dbf4f63a749947cbcb26e74,Sonic The Hedgehog,Sonic Frontiers Original Soundtrack Stillness & Motion,album,2022-12-07,150,https://i.scdn.co/image/ab67616d0000b273d02dcc45642ce7f6982ca9b3
Knights of Cydonia,366213,70,https://p.scdn.co/mp3-preview/8196f1d0cb4c14a5a5bd1ab078c6893b30dab102?cid=38e2a4a43dbf4f63a749947cbcb26e74,Muse,Black Holes and Revelations,album,2006-06-19,12,https://i.scdn.co/image/ab67616d0000b27328933b808bfb4cbbd0385400
Teardrops,215003,72,https://p.scdn.co/mp3-preview/e08faa8e08892024ff7e04a6c0ae0d2bb1ab0951?cid=38e2a4a43dbf4f63a749947cbcb26e74,Bring Me The Horizon,POST HUMAN: SURVIVAL HORROR,album,2020-10-30,9,https://i.scdn.co/image/ab67616d0000b2735149c948fde506624246a684
"Target ~Akai Shougeki~ (From ""Digimon Adventure 02"")",264727,17,https://p.scdn.co/mp3-preview/185962f43a7e61aef7ddbf7b531bfea4eaf8072c?cid=38e2a4a43dbf4f63a749947cbcb26e74,Guitarrista de Atena,"Target ~Akai Shougeki~ (From ""Digimon Adventure 02"")",single,2020-10-15,1,https://i.scdn.co/image/ab67616d0000b273ef9656586de5f01d6b8cc19f
La de Da de Da de Da de Day Oh,190673,41,https://p.scdn.co/mp3-preview/774545e5bc3f5bdd0fb52932c8422098b78a90bf?cid=38e2a4a43dbf4f63a749947cbcb26e74,Bill Wurtz,La de Da de Da de Da de Day Oh,single,2018-01-16,1,https://i.scdn.co/image/ab67616d0000b273f36642418d6cb66c0c92d9e5
"Tsunaida Te (from ""Fullmetal Alchemist: Brotherhood"") [English Ver]",275333,29,https://p.scdn.co/mp3-preview/ecdca5556951ddf6739f28cfd74993c2939146b0?cid=38e2a4a43dbf4f63a749947cbcb26e74,AmaLee,EQUIVALENCE,album,2021-06-18,18,https://i.scdn.co/image/ab67616d0000b273afd54ca5666499f2bcf7ab26
"Digimon Digital Monsters Main Theme (From ""Digimon Digital Monsters"")",178043,33,https://p.scdn.co/mp3-preview/e08cf63acee844758fbf556c9c1d9072c7b344fa?cid=38e2a4a43dbf4f63a749947cbcb26e74,Geek Music,"Digimon Digital Monsters Main Theme (From ""Digimon Digital Monsters"")",single,2022-04-11,1,https://i.scdn.co/image/ab67616d0000b2736b4e150410371b1b9493fab3
Na Na Na (Na Na Na Na Na Na Na Na Na),205960,72,https://p.scdn.co/mp3-preview/7aaaf546b7735a3277022ef9dc8568e29fdf78a0?cid=38e2a4a43dbf4f63a749947cbcb26e74,My Chemical Romance,Danger Days: The True Lives of the Fabulous Killjoys,album,2010-11-05,15,https://i.scdn.co/image/ab67616d0000b2736fbf4bb780a9cbc34b3f35da
"Tobirano Mukoue - Yellow Generation - From anime ""Fullmetal Alchemist""",288773,13,https://p.scdn.co/mp3-preview/b03ce77905dd2bf0c376606698d388399711f911?cid=38e2a4a43dbf4f63a749947cbcb26e74,ISILEN,ISILEN #1 -Haneda International Music Festival Presents-,album,2018-10-26,10,https://i.scdn.co/image/ab67616d0000b2735d0afd37f186acb0821848a7
Ngozi,221217,76,https://p.scdn.co/mp3-preview/ecf5effa139dd7204d82d0b1adbf30db2a9c662b?cid=38e2a4a43dbf4f63a749947cbcb26e74,Crayon,Trench to Triumph,album,2023-07-21,13,https://i.scdn.co/image/ab67616d0000b27332319e39298ace6b29b420f5
Mamma Mia,213266,81,,ABBA,Abba,album,1975,13,https://i.scdn.co/image/ab67616d0000b27392d0747a634fcc351c6ac3c2
好きな人がいること,272666,54,https://p.scdn.co/mp3-preview/49c035bdf21811f41d3137add000bcd03ebb05b5?cid=38e2a4a43dbf4f63a749947cbcb26e74,JY,Many Faces -多面性-,album,2017-05-03,12,https://i.scdn.co/image/ab67616d0000b273b53ea65079eb465ca9c021ee
We Three Kings,178706,43,https://p.scdn.co/mp3-preview/df9da804888c4337099bbf4c185cc6731b727025?cid=38e2a4a43dbf4f63a749947cbcb26e74,Sufjan Stevens,Songs For Christmas,album,2006-11-21,42,https://i.scdn.co/image/ab67616d0000b273c798254ac294f96f42c16c85
Tot Musica,195226,69,,Ado,UTA'S SONGS ONE PIECE FILM RED,album,2022-08-10,8,https://i.scdn.co/image/ab67616d0000b2730cbecafa929898c82adc519c
GigaChad Theme - Phonk House Version,146274,81,https://p.scdn.co/mp3-preview/6570e81d4c63389444b4cd049c5e4a5fcf7913d8?cid=38e2a4a43dbf4f63a749947cbcb26e74,g3ox_em,GigaChad Theme (Phonk House Version),single,2022-08-22,1,https://i.scdn.co/image/ab67616d0000b273ddff87d44e3d726372ef7f56
君はメロディー,285080,34,https://p.scdn.co/mp3-preview/945d1c94333a0bd93bff8f515aeda6d743df421a?cid=38e2a4a43dbf4f63a749947cbcb26e74,AKB48,君はメロディー<Type C>(初回限定盤),single,2016-03-09,6,https://i.scdn.co/image/ab67616d0000b273b478a5b95d53faa7aa549b73
Death of a Bachelor,203506,70,https://p.scdn.co/mp3-preview/ce893e1dd98a3073ad8d7e427d94333b425e125b?cid=38e2a4a43dbf4f63a749947cbcb26e74,Panic! At The Disco,Death of a Bachelor,album,2016-01-15,11,https://i.scdn.co/image/ab67616d0000b27323152d9337d6c57b116ed13a
"Departures - Anata ni Okuru Ai no Uta (From ""Guilty Crown"")",250272,30,https://p.scdn.co/mp3-preview/3d01e72a6729ef875f074cce5cb1872ca48e93b6?cid=38e2a4a43dbf4f63a749947cbcb26e74,Akano,"Departures - Anata ni Okuru Ai no Uta (From ""Guilty Crown"")",single,2019-04-11,1,https://i.scdn.co/image/ab67616d0000b27376eaadcf00b36bffd0fe6bfe
"Eiyuu Unmei no Uta (From ""Fate/Apocrypha"")",93559,11,https://p.scdn.co/mp3-preview/e4deb3caa88c900c55ac1590996f46c2c728991c?cid=38e2a4a43dbf4f63a749947cbcb26e74,Jonathan Parecki,"Eiyuu Unmei no Uta (From ""Fate/Apocrypha"")",single,2017-09-08,1,https://i.scdn.co/image/ab67616d0000b27327395fb8c4a6a1c12f651ceb
Pokémon®,254747,45,https://p.scdn.co/mp3-preview/95b43bf99b5a8e05778bb4ab8ca562351d2a8b13?cid=38e2a4a43dbf4f63a749947cbcb26e74,Video Games Live,Level 3,album,2014-02-07,15,https://i.scdn.co/image/ab67616d0000b2730deacf472b21a3773d37b3f4
"Pokémon Omega Ruby, Alpha Sapphire - Battle Wild Pokémon",92415,22,https://p.scdn.co/mp3-preview/9d59f45614823aa911504c3e9fa5c696264d5d14?cid=38e2a4a43dbf4f63a749947cbcb26e74,Arcade Player,"Pokémon: The Lost Themes, Vol. 1",album,2019-05-29,43,https://i.scdn.co/image/ab67616d0000b273944071188488a7913e8d6297
MAGICANT,261853,22,https://p.scdn.co/mp3-preview/1f1a1a2532c3193a51d3756e2cbe2eecd59bb5a1?cid=38e2a4a43dbf4f63a749947cbcb26e74,Game Music,MOTHER,album,2004,12,https://i.scdn.co/image/ab67616d0000b273d05ba3d058b034f2c9d4e3b4
"K.K. Love Song (From ""Animal Crossing"") [Lofi Beat]",111386,43,https://p.scdn.co/mp3-preview/91ee70f0ede115105b64711ab4ef4bf6ba3e7b94?cid=38e2a4a43dbf4f63a749947cbcb26e74,Celestial Alignment,"K.K. Love Song (From ""Animal Crossing"") [Lofi Beat]",single,2020-01-21,1,https://i.scdn.co/image/ab67616d0000b2732da695e622b40107e5eec55d
Into You,244453,74,,Ariana Grande,Dangerous Woman,album,2016-05-20,11,https://i.scdn.co/image/ab67616d0000b273628d506d5bddb09099db242c
Peronza Plaza Luncheon Kingdom,225365,15,https://p.scdn.co/mp3-preview/e8066758056bad83b074dc0310cf5dec59cfdbf8?cid=38e2a4a43dbf4f63a749947cbcb26e74,Lullaby Legends,Super Mario Odyssey Lullabies,album,2023-01-27,27,https://i.scdn.co/image/ab67616d0000b273e7c17449c186169731e0c67c
heavenly blue,320880,46,https://p.scdn.co/mp3-preview/feab9420efc0a97815cfd8a3e12f16449311cecc?cid=38e2a4a43dbf4f63a749947cbcb26e74,Kalafina,THE BEST “Blue”,album,2014-07-16,15,https://i.scdn.co/image/ab67616d0000b27347f5797246df2c5d564c7094
Theme of Mitsuha,246146,56,https://p.scdn.co/mp3-preview/fbc51621aa0623c1091c8637c231203881cf76d0?cid=38e2a4a43dbf4f63a749947cbcb26e74,RADWIMPS,Your Name.,album,2016-08-24,27,https://i.scdn.co/image/ab67616d0000b273cbbbea7d8fcf057f65071a85
"The Maid and the Pocket Watch of Blood (From ""Touhou 6: the Embodiment of Scarlet Devil"")",336000,18,https://p.scdn.co/mp3-preview/8eaf392bf5c017401eeeb6f7766e41c75e456e7b?cid=38e2a4a43dbf4f63a749947cbcb26e74,FalKKonE,Intense Symphonic Metal Covers: Sakuya Izayoi Edition,single,2020-12-15,6,https://i.scdn.co/image/ab67616d0000b273e2c087ae232d5c0dfffcf435
"Asayake no Starmine ""Plastic Memories""00",96601,13,https://p.scdn.co/mp3-preview/533ed8056a2138ba8245e7b76a5f40907ffc38c6?cid=38e2a4a43dbf4f63a749947cbcb26e74,Relaxu,"Animusic Box Collection, Vol. 25",album,2023-12-01,11,https://i.scdn.co/image/ab67616d0000b2736cec2e1c5a0e5082cd21b2b7
Close to you (feat. Lily),292105,25,https://p.scdn.co/mp3-preview/d6431f5ced40e85a23c90cd3b1a1512c77cf9a7c?cid=38e2a4a43dbf4f63a749947cbcb26e74,niki reverse,ERROR,album,2023-03-22,11,https://i.scdn.co/image/ab67616d0000b273991072ce5a1305e5519d223d
Kalinka,175264,34,https://p.scdn.co/mp3-preview/9c786db5dbc85efdd00f7bf0dd21da856fb0fa33?cid=38e2a4a43dbf4f63a749947cbcb26e74,Golden Ring Ensemble,Russian Folk Songs and Dances,album,2006-03-04,20,https://i.scdn.co/image/ab67616d0000b27393dae64f5528353fb36deb00
Yonjuunana,290000,19,https://p.scdn.co/mp3-preview/8830382fe93662459576c6d0f66a86471c9c77cc?cid=38e2a4a43dbf4f63a749947cbcb26e74,Rib,MYLIST,album,2021-11-24,33,https://i.scdn.co/image/ab67616d0000b273477497dffe17212037da2181
CANDY CANDY,231219,48,https://p.scdn.co/mp3-preview/1f9c9e677e01bc4e02f9f66da6f4eedd971915ab?cid=38e2a4a43dbf4f63a749947cbcb26e74,Kyary Pamyu Pamyu,ぱみゅぱみゅレボリューション,album,2012-01-11,12,https://i.scdn.co/image/ab67616d0000b27384bfd3025489b470a79af580
Glorious Break,316280,36,https://p.scdn.co/mp3-preview/85c8a5af93571f9a48dba1101dd2657822b29b6e?cid=38e2a4a43dbf4f63a749947cbcb26e74,Nana Mizuki,SMASHING ANTHEMS,album,2015-11-11,15,https://i.scdn.co/image/ab67616d0000b2732cb3ff087f529ce985499eb3
"Cosmic Cove Galaxy Lofi (From ""Super Mario Galaxy 2"")",193170,37,https://p.scdn.co/mp3-preview/e362ef439cf7497e8d09cfb79d96827fa62a1e1a?cid=38e2a4a43dbf4f63a749947cbcb26e74,Hotline Sehwani,"Cosmic Cove Galaxy Lofi (From ""Super Mario Galaxy 2"")",single,2021-04-21,1,https://i.scdn.co/image/ab67616d0000b27328f3af16bc62805cf79d53ab
clear and pure,137647,26,https://p.scdn.co/mp3-preview/770c2f667ffce68ff80d0773c1b6f544bb7f359a?cid=38e2a4a43dbf4f63a749947cbcb26e74,Hakuuro,Camping Under The Stars,single,2023-03-24,3,https://i.scdn.co/image/ab67616d0000b273d9c6076ad7eb2c8a5eb7c16f
"Harumudoki (From ""My Teen Romantic Comedy SNAFU"")",147191,3,https://p.scdn.co/mp3-preview/36d9a32bda8f78c241fa44720a62a8de9946c348?cid=38e2a4a43dbf4f63a749947cbcb26e74,Pandellon,The Snow Beneath the Snow,album,2020-09-28,8,https://i.scdn.co/image/ab67616d0000b2739f18ddca250a47bd29530461
Somewhere Only We Know,236160,80,,Keane,Hopes And Fears,album,2004-01-01,11,https://i.scdn.co/image/ab67616d0000b273045d0a38105fbe7bde43c490
Valkyrie,207585,51,https://p.scdn.co/mp3-preview/b63fbe5002216e4b9ce062588c966f749492db84?cid=38e2a4a43dbf4f63a749947cbcb26e74,ONEUS,LIGHT US,single,2019-01-09,7,https://i.scdn.co/image/ab67616d0000b273460bbfc2471cfa19de47ec47
