song_name,duration_ms,popularity,preview_url,artists,album_name,album_type,release_date,total_tracks,album_cover_url
Senbonzakura (Hatsune Miku),277450,36,https://p.scdn.co/mp3-preview/d0cafcbfdfe2f7560f39854bc2dc5d1ee912950c?cid=38e2a4a43dbf4f63a749947cbcb26e74,Jonathan Parecki,Senbonzakura (Hatsune Miku),single,2015-11-23,1,https://i.scdn.co/image/ab67616d0000b273083072c47827c97815cb2ede
Sadness and Sorrow (Naruto),77754,56,https://p.scdn.co/mp3-preview/bf7707e9d1c8c7fd8322227352dc7abf530fd61a?cid=38e2a4a43dbf4f63a749947cbcb26e74,Kato,Sleep Anime Lofi Beats,album,2021-09-17,20,https://i.scdn.co/image/ab67616d0000b273ff662f0affe1a5420d3d6b81
Fallen Down (Undertale Soundtrack),120000,31,https://p.scdn.co/mp3-preview/d6280827c58fe012f4ce62855b4da4557c93d13e?cid=38e2a4a43dbf4f63a749947cbcb26e74,Lizard in the Spring,Fallen Down (Undertale Soundtrack),single,2022-04-14,1,https://i.scdn.co/image/ab67616d0000b273a4d22d61f38f025b0c5f810c
Daycare Theme,148846,59,https://p.scdn.co/mp3-preview/00bef4e1cff14fd97cc56e257d7c19fbf97ea4d9?cid=38e2a4a43dbf4f63a749947cbcb26e74,A Shell In The Pit,Five Nights at Freddy's: Security Breach Original Soundtrack,album,2022-12-16,33,https://i.scdn.co/image/ab67616d0000b273cce322c844b237cea3734d7e
Once Upon a December (Anastasia Lofi),127036,27,https://p.scdn.co/mp3-preview/b50ea64fb4da590960d671e7955be2af18c76d2d?cid=38e2a4a43dbf4f63a749947cbcb26e74,Luna Lofi,Disney Lofi Collection I,album,2022-06-01,12,https://i.scdn.co/image/ab67616d0000b27337679b0eb6834eef29a16f3d
unravel,238360,74,https://p.scdn.co/mp3-preview/63d4aacff92bb8f275ec03e92505b3d315d63327?cid=38e2a4a43dbf4f63a749947cbcb26e74,TK from Ling tosite sigure,Fantastic Magic,album,2014-08-27,10,https://i.scdn.co/image/ab67616d0000b273b11c3ab5cb818192b7a61fdd
FLY ME TO THE MOON - Instrumental Version,178973,42,https://p.scdn.co/mp3-preview/c9eeef7b54867f58d5d53f344f9c63111f0439c2?cid=38e2a4a43dbf4f63a749947cbcb26e74,Shiro SAGISU,NEON GENESIS EVANGELION (Original Series Soundtrack),album,2019-06-21,22,https://i.scdn.co/image/ab67616d0000b273564b9a0c99103bf3c5e054f7
Super Mario Galaxy: Gusty Garden Galaxy,229777,47,https://p.scdn.co/mp3-preview/b2bc2aff74c9894b0ac4501e210c246c99355cea?cid=38e2a4a43dbf4f63a749947cbcb26e74,Andrew Skeet,The Greatest Video Game Music,album,2011-11-18,21,https://i.scdn.co/image/ab67616d0000b273943c113347461b66ba58d116
Can You Feel My Heart,228146,81,https://p.scdn.co/mp3-preview/fbc31af715ba4d39e569820f59210a2480f8ada3?cid=38e2a4a43dbf4f63a749947cbcb26e74,Bring Me The Horizon,Sempiternal (Expanded Edition),album,2013-04-01,13,https://i.scdn.co/image/ab67616d0000b27360cf7c8dd93815ccd6cb4830
Fallen Down,57818,73,https://p.scdn.co/mp3-preview/141b3339b2910f8efb8d7d47ff8b6cdd30b0b9b8?cid=38e2a4a43dbf4f63a749947cbcb26e74,Toby Fox,UNDERTALE Soundtrack,album,2015-09-15,101,https://i.scdn.co/image/ab67616d0000b27324edb22d068eb245a924b7f2
"Question (From ""Assassination Classroom"")",266440,38,https://p.scdn.co/mp3-preview/e2de540482134bebcc8319e40736167b65a8a8d3?cid=38e2a4a43dbf4f63a749947cbcb26e74,AmaLee,Nostalgia VI,album,2019-03-13,12,https://i.scdn.co/image/ab67616d0000b273113a19795290a9bb4d4dd8b0
"KOMM, SUSSER TOD - M-10 Director's Edit Version",466333,50,https://p.scdn.co/mp3-preview/8b47842058f6701f3b099da10a2af7cca425f5ac?cid=38e2a4a43dbf4f63a749947cbcb26e74,Shiro SAGISU,THE END OF EVANGELION (Original Soundtrack),album,2023-02-15,16,https://i.scdn.co/image/ab67616d0000b273b53900d8b2056868839d7edd
Carrying You,247973,55,https://p.scdn.co/mp3-preview/d2f24f9ee21ae9681c49a9b3fcf5da79c4dc4105?cid=38e2a4a43dbf4f63a749947cbcb26e74,Joe Hisaishi,Laputa: Castle in the Sky Soundtrack -The Mystery of the Levitation Stone-,album,1986,14,https://i.scdn.co/image/ab67616d0000b273422f6f1811ec0d896900afa9
Waltz Of The Flowers From The Nutcracker,424306,54,https://p.scdn.co/mp3-preview/760d2af393ea9a786287bdf4feac4fb511878f0b?cid=38e2a4a43dbf4f63a749947cbcb26e74,Royal Philharmonic Orchestra,Last Night of the Proms,album,2007-08-03,17,https://i.scdn.co/image/ab67616d0000b2730947f8018fbb25c91d7c7525
Davy Jones (Pirates Of The Caribbean Lofi),147000,30,https://p.scdn.co/mp3-preview/047dd3a03b76ed32d0996b0facd06decf4370657?cid=38e2a4a43dbf4f63a749947cbcb26e74,Chill Astronaut,Davy Jones (Pirates Of The Caribbean Lofi),single,2021-07-30,1,https://i.scdn.co/image/ab67616d0000b2732d5ae08af742ebaa4b4f28f2
Dialtone,44307,51,https://p.scdn.co/mp3-preview/e589b25c34be6afae38c51c5b738282007c334cb?cid=38e2a4a43dbf4f63a749947cbcb26e74,Toby Fox,DELTARUNE Chapter 2 (Original Game Soundtrack),album,2021-09-17,47,https://i.scdn.co/image/ab67616d0000b2734e48efe54e29fa5dc5e0a0d6
Diamond is unbreakable - Main Theme,247880,56,https://p.scdn.co/mp3-preview/c31e055cebd856c9c2501a0841c4042cef685eac?cid=38e2a4a43dbf4f63a749947cbcb26e74,Yugo Kanno,JOJO'S BIZARRE ADVENTURE -Diamond is unbreakable O.S.T Vol.1 -Good Morning Morioh Cho- Music by Yugo Kanno,album,2016-07-27,23,https://i.scdn.co/image/ab67616d0000b2737990f7da4ae5c7b36c612afe
"Kamado Tanjirou no Uta (From ""Demon Slayer: Kimetsu no Yaiba"") [Full Version]",328548,65,https://p.scdn.co/mp3-preview/531907db994b7c03ddca604a870f9bcb77b7ba3a?cid=38e2a4a43dbf4f63a749947cbcb26e74,Akano,"Kamado Tanjirou no Uta (From ""Demon Slayer: Kimetsu no Yaiba"") [Full Version]",single,2019-09-19,1,https://i.scdn.co/image/ab67616d0000b27302489be5b302865fce3c4d74
A1 - It's just a burning memory,212213,59,https://p.scdn.co/mp3-preview/24e96316d1707460296eafdb9eee884c3f0d8fdf?cid=38e2a4a43dbf4f63a749947cbcb26e74,The Caretaker,Everywhere at the End of Time (Stage 1),album,2023-12-01,12,https://i.scdn.co/image/ab67616d0000b273fcbf4e2387666add4df3b668
Don't Forget (Deltarune),185163,19,https://p.scdn.co/mp3-preview/24bd811b003248819dcb38d7d9788c6fe2dce46f?cid=38e2a4a43dbf4f63a749947cbcb26e74,Dj Cutman,Don't Forget (Deltarune),single,2021-12-03,1,https://i.scdn.co/image/ab67616d0000b2738f0e0f6d131c434f91e15543
